%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.qp0,field.qp1,field.qp2,field.qp3,field.qp4,field.qp5,field.qpp0,field.qpp1,field.qpp2,field.qpp3,field.qpp4,field.qpp5,field.qf0,field.qf1,field.qf2,field.qf3,field.qf4,field.qf5,field.qpf0,field.qpf1,field.qpf2,field.qpf3,field.qpf4,field.qpf5,field.qppf0,field.qppf1,field.qppf2,field.qppf3,field.qppf4,field.qppf5,field.Xef_00,field.Xef_01,field.Xef_02,field.Xef_03,field.Xef_04,field.Xef_05,field.Xefp_00,field.Xefp_01,field.Xefp_02,field.Xefp_03,field.Xefp_04,field.Xefp_05,field.Xeff_00,field.Xeff_01,field.Xeff_02,field.Xeff_03,field.Xeff_04,field.Xeff_05,field.Xefpf_00,field.Xefpf_01,field.Xefpf_02,field.Xefpf_03,field.Xefpf_04,field.Xefpf_05,field.torques0,field.torques1,field.torques2,field.torques3,field.torques4,field.torques5
1455821708174756795,106,1455821708172152611,,0.229605913162,2.44302285741,-1.57040284117,0.000262777658284,-2.79173204975,-0.7846429051,0.436455527243,-0.00626197900857,0.00562693619205,0.00374291299252,0.0114122978624,0.0109720747628,0.00172143953834,-0.0681196260202,0.0644660855365,0.0299999451099,0.151576843467,0.153658490794,0.0134007787457,2.44310958697,-1.57048068835,0.00021067900541,-2.79188978136,-0.784793147747,0.436431625604,-0.00536145126168,0.00481447167777,0.00321682394388,0.00975402101729,0.00928824025923,0.00148616778684,-0.0582404881581,0.0519935125183,0.0354948805718,0.105470169707,0.100819239812,0.0148986732242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.719130403009,-0.899677466731,-1.39094186947,-1.67374230222,2.21356659148,0.169030101791
1455821708177041965,107,1455821708174632826,,0.232086181641,2.44301019374,-1.57039145848,0.000270334960768,-2.79170892931,-0.784620696564,0.436458997603,-0.00640169957688,0.00575575538202,0.00381438949076,0.011708140902,0.0112364619579,0.00174891993793,-0.0716009422856,0.0643531044335,0.0414765531241,0.144266196161,0.110728704376,0.0140796208441,2.44309874695,-1.57047095469,0.000217183569549,-2.79187006045,-0.784774366392,0.436434627912,-0.00547857071529,0.00491919403983,0.00328774019526,0.00996688212979,0.00949311428247,0.00151614057118,-0.0588789654566,0.0527288495339,0.035421370812,0.107390942788,0.104054783431,0.0150741111109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.758174605985,-0.84841290478,-1.36030469335,-1.66284758816,2.21134067754,0.170523857567
1455821708179305687,108,1455821708176946651,,0.234400033951,2.4429972487,-1.57037982291,0.000278056002404,-2.79168524912,-0.784598037144,0.436462525955,-0.00654333793607,0.00587982047843,0.00390665214533,0.0119720477235,0.0114229573684,0.00177943304837,-0.0700374169071,0.0597119919817,0.0507861014523,0.119640625298,0.0757667060631,0.0164334895911,2.4430876712,-1.57046100995,0.000223830008837,-2.79184990942,-0.784755169304,0.436437690458,-0.00559717622634,0.00502554321734,0.00335869909221,0.0101841534225,0.00970397337266,0.00154640517055,-0.0597265455922,0.0536203279788,0.0355375261347,0.109880349954,0.106804306762,0.0151904882639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74631757185,-0.903677826086,-1.40114724577,-1.702831407,2.21039432139,0.15789462058
1455821708181319925,109,1455821708179192319,,0.236645698547,2.44298402521,-1.57036794756,0.000285972078918,-2.79166108367,-0.784575036442,0.436466119793,-0.0066801478154,0.00599552266663,0.00400942436898,0.0121934064829,0.0115777453043,0.00181440463184,-0.066772462421,0.0559901962121,0.0519861222005,0.101718134116,0.0790212299135,0.0185380938841,2.44307635644,-1.57045085074,0.000230618984619,-2.79182931909,-0.784735546315,0.436440813775,-0.00571758779661,0.00513366449324,0.00343027669015,0.0104061787538,0.00991901611838,0.00157691222556,-0.0606850246761,0.054500947919,0.0360400718107,0.112144981287,0.108238438959,0.0153165667473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.715084100611,-0.98120821917,-1.45524347368,-1.74503405369,2.21154872116,0.145895917465
1455821708183439704,110,1455821708181216792,,0.238670110703,2.44297053823,-1.57035584957,0.000294088314607,-2.79163651165,-0.784551727504,0.436469787691,-0.0068068309888,0.00610246818456,0.00410681132002,0.0123786127619,0.0117311923163,0.00185349294698,-0.0599107109734,0.0509553217217,0.0454008288299,0.0834881448899,0.0744257820233,0.0205502212526,2.443064799,-1.5704404737,0.000237552441019,-2.79180828103,-0.784715491683,0.436443998429,-0.00583985433968,0.00524337726614,0.00350317971003,0.0106318748737,0.010135616224,0.00160774198487,-0.061581518399,0.0552118249832,0.0368629480652,0.113551138683,0.108361666665,0.0155131925585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.645545218667,-1.11778893165,-1.54673211256,-1.8076235409,2.21282441518,0.128749878691
1455821708185562045,111,1455821708183334405,,0.240787744522,2.44295680776,-1.57034354279,0.000302383466704,-2.79161158351,-0.784528103087,0.436473536141,-0.00692364606211,0.00620431022502,0.00418834077714,0.0125495307367,0.0118932244694,0.00189495743086,-0.0569043623383,0.0508867187375,0.0361286282973,0.087429829929,0.0876063710857,0.0209142626305,2.44305299546,-1.57042987607,0.000244633402724,-2.79178678987,-0.784695004555,0.436447245235,-0.0059636819824,0.00535425114294,0.00357778199465,0.0108592872686,0.0103515114202,0.00163906366073,-0.0622461243139,0.0556620518191,0.03773933655,0.113861256172,0.107533529497,0.0158084833016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.612824100307,-1.16050916416,-1.57326866808,-1.81892264021,2.21419208924,0.127059547683
1455821708187619464,112,1455821708185448735,,0.242902040482,2.44294284768,-1.57033103108,0.000310825166373,-2.79158629879,-0.784504128295,0.436477367304,-0.00703642548777,0.00630740637179,0.00425335889167,0.0127351803153,0.0120815681187,0.00193620585659,-0.055875063325,0.0522094280326,0.0288894862348,0.0982197486593,0.100737278211,0.0203341630941,2.44304094325,-1.57041905604,0.00025186508222,-2.79176484411,-0.784674087723,0.436450555358,-0.00608853168972,0.00546578162727,0.00365389750176,0.0110864740906,0.010565320394,0.00167105915164,-0.0626035830114,0.0558684325064,0.03837617056,0.113325565821,0.10627544434,0.0161870076078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.599677024256,-1.15954366299,-1.56946480003,-1.80865077589,2.21516243899,0.131286767218
1455821708189546148,113,1455821708187514059,,0.244967460632,2.44292866416,-1.57031831255,0.000319388563554,-2.79156063064,-0.78447977207,0.436481280321,-0.00714709646635,0.00641112029055,0.00431003828955,0.0129329742967,0.0122746570765,0.00197681076763,-0.0547959152534,0.0515044907281,0.0277899116412,0.0995742326989,0.0923516795701,0.0202707479529,2.44302864091,-1.57040801271,0.000259249868645,-2.79174244547,-0.784652745837,0.436453930274,-0.00621380180794,0.00557754626792,0.00373088892325,0.0113121685703,0.0107765660792,0.00170385688603,-0.0626665352084,0.0558962081522,0.0386152509303,0.112368913883,0.104970240809,0.016610726779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.587434866809,-1.16827146495,-1.57287553165,-1.80889712303,2.21511022055,0.131717628064
1455821708191609882,114,1455821708189578165,,0.247031450272,2.4429142609,-1.57030538888,0.00032806775358,-2.79153456971,-0.784455051246,0.436485274941,-0.00725617082607,0.00651254858295,0.00436915173665,0.0131279584298,0.0124461664141,0.00201780913789,-0.0542784444646,0.0499238016668,0.0313235354607,0.0954099004037,0.0791576580678,0.0207276223029,2.44301608817,-1.57039674595,0.000266788757738,-2.79171959757,-0.784630984196,0.436457371652,-0.00633894129305,0.00568921573542,0.0038080001692,0.0115357302098,0.0109850744443,0.00173752146855,-0.0624729498984,0.0557732593437,0.0384959950265,0.111192725618,0.103538124326,0.0170538557411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.581963760518,-1.17377083396,-1.57508034,-1.81236224731,2.2147608553,0.130851680486
1455821708193642153,115,1455821708191644054,,0.24909734726,2.44289964001,-1.5702922649,0.000336871897735,-2.79150812573,-0.784429999881,0.436489352383,-0.00736471582054,0.0066114304866,0.00443499241786,0.0133160238021,0.0126051989134,0.00205963303981,-0.0542665500047,0.0489581019851,0.0345171457459,0.0926554719124,0.0798748412439,0.0210962796146,2.44300328574,-1.57038525624,0.000274481431696,-2.7916963051,-0.784608808722,0.436460881256,-0.00646348652798,0.00580048990795,0.00388467378897,0.0117567320189,0.0111903998295,0.00177208284834,-0.0620722850363,0.0555009131861,0.0381776247367,0.109809083478,0.101787260888,0.0175075240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.581822051662,-1.1719154097,-1.57292895091,-1.81262412906,2.21503350634,0.130892780565
