%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.qp0,field.qp1,field.qp2,field.qp3,field.qp4,field.qp5,field.qpp0,field.qpp1,field.qpp2,field.qpp3,field.qpp4,field.qpp5,field.qd0,field.qd1,field.qd2,field.qd3,field.qd4,field.qd5,field.qpd0,field.qpd1,field.qpd2,field.qpd3,field.qpd4,field.qpd5,field.qppd0,field.qppd1,field.qppd2,field.qppd3,field.qppd4,field.qppd5,field.Dq0,field.Dq1,field.Dq2,field.Dq3,field.Dq4,field.Dq5,field.Dqp0,field.Dqp1,field.Dqp2,field.Dqp3,field.Dqp4,field.Dqp5,field.Xef_00,field.Xef_01,field.Xef_02,field.Xef_03,field.Xef_04,field.Xef_05,field.Xd_00,field.Xd_01,field.Xd_02,field.Xd_03,field.Xd_04,field.Xd_05,field.torques0,field.torques1,field.torques2,field.torques3,field.torques4,field.torques5
1455732142996416137,123,1455732142995650798,,0.257089853287,2.44283603638,-1.57023443675,0.000375054725272,-2.79139807185,-0.784329265766,0.436514002306,-0.00747916003255,0.00672741881059,0.00449094546316,0.0135028498429,0.0127831896429,0.00218967482558,0.0,0.0,0.0,0.0,0.0,0.0,2.44281780792,-1.57021749641,0.000385886925016,-2.79136914242,-0.78430481711,0.436525256461,-0.00733915889417,0.00660524300475,0.0044034953365,0.0132104860095,0.0124765701201,0.00220174766825,-0.0545382131492,0.0490843918342,0.0327229278895,0.0981687836685,0.0927149623536,0.0163614639447,1.82284658226e-05,-1.69403414809e-05,-1.08321997431e-05,-2.89294362608e-05,-2.44486559695e-05,-1.12541555843e-05,-0.000140001138382,0.000122175805837,8.74501266555e-05,0.000292363833421,0.000306619522858,-1.20728426711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.627184731204,-1.09314787387,-1.52243078968,-1.7788706611,2.21554837047,0.137291257448
1455732142998438267,124,1455732142997755794,,0.259194850922,2.44282096047,-1.57022087612,0.000384107261032,-2.79137085361,-0.784303498181,0.436518416091,-0.00759675674752,0.00683321135667,0.00456159029594,0.0137153894925,0.0129843950001,0.00222411079355,0.0,0.0,0.0,0.0,0.0,0.0,2.44280223789,-1.57020348338,0.000395228940531,-2.79134111637,-0.784278348066,0.436529927469,-0.0074543662585,0.00670892963265,0.0044726197551,0.0134178592653,0.0126724226395,0.00223630987755,-0.0549224249237,0.0494301824313,0.0329534549542,0.0988603648627,0.0933681223703,0.0164767274771,1.87225749007e-05,-1.73927345861e-05,-1.1121679499e-05,-2.97372434703e-05,-2.51501152857e-05,-1.15113777227e-05,-0.00014239048902,0.000124281724015,8.89705408402e-05,0.000297530227167,0.000311972360621,-1.21990840045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.634041863932,-1.07879777597,-1.51322008949,-1.77249088842,2.21599483498,0.139151298224
1455732143000654505,125,1455732142999877144,,0.261316299438,2.44280564796,-1.57020710242,0.000393301169209,-2.79134320601,-0.784277319104,0.436522898738,-0.00771574881119,0.0069404855287,0.00463231788129,0.0139322110386,0.0131946822714,0.00225853605262,0.0,0.0,0.0,0.0,0.0,0.0,2.44278629996,-1.57018913924,0.000404791701243,-2.79131242809,-0.784251253577,0.436534708849,-0.00757129120617,0.00681416208555,0.0045427747237,0.0136283241711,0.0128711950505,0.00227138736185,-0.0553086465338,0.0497777818804,0.0331851879203,0.0995555637609,0.0940246991075,0.0165925939601,1.93480038631e-05,-1.79631787698e-05,-1.14905320343e-05,-3.0777925077e-05,-2.60655266998e-05,-1.18101112328e-05,-0.000144457605024,0.000126323443146,8.9543157595e-05,0.000303886867539,0.00032348722091,-1.28513092299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.642071351893,-1.06256521738,-1.50284274204,-1.76547696341,2.21637596888,0.141141053251
1455732143002606332,126,1455732143001973773,,0.263412952423,2.44279009568,-1.57019311246,0.000402637154351,-2.79131511995,-0.784250713335,0.436527450175,-0.0078365310905,0.00704947746714,0.00470366726072,0.0141538541525,0.013411086266,0.00229290134347,0.0,0.0,0.0,0.0,0.0,0.0,2.44277030374,-1.57017474265,0.000414389431175,-2.7912836349,-0.784224060009,0.436539507714,-0.00768765354309,0.00691888818878,0.00461259212585,0.0138377763776,0.0130690110233,0.00230629606293,-0.0556893754341,0.0501204378907,0.0334136252604,0.100240875781,0.0946719382379,0.0167068126302,1.97919405145e-05,-1.83698106717e-05,-1.17522768242e-05,-3.14850496812e-05,-2.66533263027e-05,-1.20575388027e-05,-0.000148877547405,0.000130589278363,9.10751348622e-05,0.000316077774918,0.000342075242734,-1.33947194603e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.653098055478,-1.04084241955,-1.48889642213,-1.75620258046,2.21662442656,0.143733856098
1455732143004677658,127,1455732143004058405,,0.26549744606,2.44277430051,-1.57017890352,0.000412117136016,-2.79128658889,-0.784223678472,0.436532070538,-0.00795864161958,0.00715946060667,0.00477631440446,0.0143771995813,0.0136237775137,0.00232746119404,0.0,0.0,0.0,0.0,0.0,0.0,2.44275415761,-1.57016021113,0.00042407710727,-2.79125457187,-0.784196611594,0.436544351552,-0.00780413136656,0.0070237182299,0.00468247881993,0.0140474364598,0.0132670233231,0.00234123940997,-0.0560669327258,0.0504602394532,0.0336401596355,0.100920478906,0.0953137856338,0.0168200798177,2.01428946291e-05,-1.86923867402e-05,-1.19599712539e-05,-3.20170242323e-05,-2.70668781253e-05,-1.22810143126e-05,-0.000154510253024,0.000135742376772,9.38355845276e-05,0.000329763121507,0.000356754190561,-1.37782159257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65676935264,-1.03570545576,-1.48619522928,-1.75561550523,2.21661775671,0.143739134108
1455732143006821844,128,1455732143006156661,,0.267595767975,2.44275826093,-1.57016447495,0.000421744081614,-2.79125761463,-0.78419623059,0.436536760686,-0.00808093629415,0.00726910881423,0.00485063119304,0.0145970676573,0.0138241041883,0.00236268697206,0.0,0.0,0.0,0.0,0.0,0.0,2.44273765832,-1.57014536177,0.000433976680265,-2.79122487315,-0.784168562803,0.436549301339,-0.00792217573909,0.00712995816518,0.00475330544345,0.0142599163304,0.0134676987565,0.00237665272173,-0.0564460250433,0.050801422539,0.033867615026,0.101602845078,0.0959582425736,0.016933807513,2.06026050398e-05,-1.91131768115e-05,-1.22325986511e-05,-3.27414759775e-05,-2.76677865748e-05,-1.25406526438e-05,-0.000158760555055,0.000139150649047,9.73257495831e-05,0.000337151326909,0.000356405431876,-1.39657496646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.656439251655,-1.03873707536,-1.48892980501,-1.75904021667,2.21664371462,0.142660654431
1455732143008939467,129,1455732143008257717,,0.269696712494,2.44274197654,-1.57014982713,0.000431520680522,-2.79122820255,-0.784168384293,0.436541521919,-0.0082034555778,0.00737871158267,0.00492596771521,0.0148150076203,0.0140221926082,0.00239854557095,0.0,0.0,0.0,0.0,0.0,0.0,2.44272088942,-1.57013026976,0.000444038023783,-2.79119468912,-0.784140055663,0.43655433201,-0.00804116357719,0.00723704721947,0.00482469814631,0.0144740944389,0.0136699780812,0.00241234907316,-0.0568246172453,0.0511421555208,0.0340947703472,0.102284311042,0.096601849317,0.0170473851736,2.10871190309e-05,-1.95573716915e-05,-1.25173432608e-05,-3.35134312537e-05,-2.83286297458e-05,-1.28100918598e-05,-0.000162292000607,0.0001416643632,0.000101269568894,0.000340913181388,0.000352214526981,-1.38035022018e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.660140198156,-1.03102947357,-1.48416874356,-1.75611410957,2.21711562218,0.143588996145
1455732143011083145,130,1455732143010363040,,0.271802186966,2.44272544628,-1.57013495904,0.000441447583037,-2.79119835154,-0.784140128619,0.436546355064,-0.00832680683233,0.007489377439,0.0050009348001,0.0150359996305,0.0142334814298,0.00243459940295,0.0,0.0,0.0,0.0,0.0,0.0,2.44270383272,-1.57011491873,0.000454272041879,-2.79116398707,-0.784111059279,0.43655944902,-0.00816120491871,0.00734508442684,0.00489672295123,0.0146901688537,0.0138740483618,0.00244836147561,-0.0572030488116,0.0514827439305,0.034321829287,0.102965487861,0.0972451829798,0.0171609146435,2.16135534488e-05,-2.00403098147e-05,-1.28244588422e-05,-3.43644782927e-05,-2.9069340315e-05,-1.30939559342e-05,-0.000165601913614,0.000144293012163,0.000104211848872,0.000345830776813,0.000359433067999,-1.37620726643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.665411195428,-1.01854295692,-1.47605249366,-1.75005973638,2.21778397547,0.145445734895
1455732143013168198,131,1455732143012453670,,0.273892641068,2.44270866819,-1.57011986811,0.000451523539721,-2.79116805359,-0.784111437826,0.436551260266,-0.0084512774269,0.00760155735331,0.00507502188386,0.0152619537254,0.0144573119615,0.00247060295187,0.0,0.0,0.0,0.0,0.0,0.0,2.44268664684,-1.57009945143,0.000464583573503,-2.79113305247,-0.784081843273,0.436564604785,-0.00828117714904,0.00745305943414,0.00496870628942,0.0149061188683,0.0140780011534,0.00248435314471,-0.0575778138571,0.0518200324714,0.0345466883143,0.103640064943,0.0978822835571,0.0172733441571,2.20213552291e-05,-2.04166724582e-05,-1.3060033782e-05,-3.50011198083e-05,-2.95945531911e-05,-1.33445193913e-05,-0.000170100277861,0.000148497919178,0.000106315594432,0.000355834857117,0.000379310808161,-1.37501928465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.671963921506,-1.00387598372,-1.46659594469,-1.74331177651,2.21817927687,0.147407065088
1455732143015195243,132,1455732143014553162,,0.275992155075,2.44269164035,-1.57010455195,0.000461747717503,-2.79113730163,-0.784082302732,0.43655623764,-0.00857656335221,0.00771460032422,0.0051491558978,0.0154900033954,0.0146777818542,0.00250677155955,0.0,0.0,0.0,0.0,0.0,0.0,2.44266913321,-1.57008368917,0.000475091747742,-2.79110152795,-0.784052070112,0.436569858872,-0.00840245684575,0.00756221116118,0.00504147410745,0.0151244223224,0.0142841766378,0.00252073705373,-0.0579532342422,0.052157910818,0.0347719405453,0.104315821636,0.0985204982118,0.0173859702727,2.25071381816e-05,-2.08627761391e-05,-1.33440302392e-05,-3.57736854042e-05,-3.02326197188e-05,-1.36212319993e-05,-0.000174106506455,0.000152389163044,0.000107681790346,0.000365581073035,0.000393605216416,-1.39654941737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.674543467268,-0.999050212973,-1.46389871514,-1.74232101511,2.21813092821,0.147593351914
1455732143017324257,133,1455732143016637343,,0.278076410294,2.44267436132,-1.57008900943,0.0004721213712,-2.79110609402,-0.7840527379,0.436561287791,-0.0087024708366,0.00782792337275,0.00522449779956,0.0157176067564,0.0148870502119,0.00254337867651,0.0,0.0,0.0,0.0,0.0,0.0,2.4426514942,-1.57006781406,0.000485675154786,-2.79106977773,-0.784022083792,0.436575150576,-0.0085236337351,0.00767127036159,0.00511418024106,0.0153425407232,0.0144901773497,0.00255709012053,-0.0583249664887,0.0524924698398,0.0349949798932,0.10498493968,0.0991524430308,0.0174974899466,2.2867115733e-05,-2.11953630083e-05,-1.3553783586e-05,-3.63162963848e-05,-3.06541076111e-05,-1.38627852854e-05,-0.000178837101501,0.00015665301116,0.000110317558499,0.000375066033202,0.000396872862267,-1.37114440171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.679365553444,-0.989846332731,-1.4582324734,-1.73939627898,2.2181785868,0.148389555165
1455732143019232423,134,1455732143018735397,,0.28017449379,2.44265682997,-1.57007324013,0.000482647047237,-2.79107443214,-0.784022758071,0.436566411659,-0.00882887121113,0.00794137376232,0.0053011782374,0.0159442790027,0.0150927786222,0.00258048966597,0.0,0.0,0.0,0.0,0.0,0.0,2.44263348226,-1.57005160332,0.0004964823195,-2.79103735623,-0.783991463492,0.436580554158,-0.00864639609152,0.00778175648237,0.00518783765491,0.0155635129647,0.0146988733556,0.00259391882746,-0.0586982000806,0.0528283800725,0.0352189200483,0.105656760145,0.099786940137,0.0176094600242,2.33477148752e-05,-2.16368129444e-05,-1.38352722632e-05,-3.70759047681e-05,-3.12945788004e-05,-1.41424992999e-05,-0.000182475119606,0.000159617279944,0.000113340582488,0.000380766037936,0.000393905266648,-1.34291614903e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.680547165913,-0.987854843781,-1.4572948387,-1.73960275871,2.21852711971,0.148330811544
1455732143021361814,135,1455732143020820960,,0.282259941101,2.44263904529,-1.57005724348,0.000493326652295,-2.79104231634,-0.783992358651,0.436571610104,-0.00895581249211,0.00805527776906,0.00537842682072,0.0161715222097,0.0153066409273,0.00261795563693,0.0,0.0,0.0,0.0,0.0,0.0,2.44261532275,-1.57003525975,0.000507378027757,-2.79100466911,-0.783960592319,0.436586002012,-0.00876919409703,0.00789227468733,0.00526151645822,0.0157845493747,0.014907629965,0.00263075822911,-0.0590682270998,0.0531614043898,0.0354409362599,0.10632280878,0.10041598607,0.0177204681299,2.37225449329e-05,-2.19837237978e-05,-1.40513754616e-05,-3.76472283254e-05,-3.17663326442e-05,-1.43919081253e-05,-0.000186618395075,0.000163003081727,0.000116910362502,0.000386972835082,0.000399010962323,-1.28025921773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.685631285316,-0.976679829778,-1.45013874222,-1.73476870459,2.21914049662,0.149798590746
1455732143023346562,136,1455732143022902836,,0.284341812134,2.44262100606,-1.57004101819,0.000504160555592,-2.79100974388,-0.783961522009,0.436576883672,-0.00908342108001,0.00817000980408,0.00545547647577,0.0164009302012,0.0155300016716,0.00265561199066,0.0,0.0,0.0,0.0,0.0,0.0,2.44259693814,-1.57001871361,0.000518408790074,-2.79097157682,-0.783929338492,0.436591517394,-0.00889255021519,0.00800329519367,0.00533553012911,0.0160065903873,0.0151173353658,0.00266776506456,-0.0594366669658,0.0534930002692,0.0356620001795,0.106986000538,0.101042333842,0.0178310000897,2.40679152221e-05,-2.23045797001e-05,-1.4248234482e-05,-3.81670628653e-05,-3.21835166099e-05,-1.46337216562e-05,-0.000190870864823,0.000166714610405,0.000119946346651,0.000394339813871,0.000412666305757,-1.21530739005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687986125412,-0.970964572727,-1.44667961631,-1.73254600498,2.21953800734,0.150451724066
1455732143025383233,137,1455732143024966801,,0.286405801773,2.44260271129,-1.570024563,0.000515148319851,-2.79097671192,-0.783930241037,0.436582232851,-0.00921135090037,0.00828518272525,0.00553228778339,0.0166310292082,0.0157509701387,0.00269356711139,0.0,0.0,0.0,0.0,0.0,0.0,2.44257845715,-1.57000208072,0.000529497385298,-2.79093831104,-0.783897920806,0.436597061691,-0.00901560303406,0.00811404273066,0.00540936182044,0.0162280854613,0.0153265251579,0.00270468091022,-0.0598010034252,0.0538209030827,0.0358806020551,0.107641806165,0.101661705823,0.0179403010276,2.42541352833e-05,-2.24822800083e-05,-1.43490654477e-05,-3.84008891308e-05,-3.23202312702e-05,-1.48288401666e-05,-0.000195747866309,0.000171139994599,0.000122925962958,0.000402943746852,0.000424444980756,-1.11137988315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.689706945341,-0.966862191652,-1.44436784526,-1.73147734341,2.21962993199,0.1507319847
