%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587895092315663,32,1454587895092025413,,32,2.22887678387,-1.57881133862,-0.0405753561043,-2.4007641534,-1.56462882104,0.464733375763,3.0,0.75,0.008,0.0
1454587895100248720,33,1454587895100028106,,33,2.22891719895,-1.57899575926,-0.0384914626903,-2.40210602279,-1.56471612497,0.464699824356,3.0,0.75,0.008,0.0
1454587895108492786,34,1454587895108237205,,34,2.2289599879,-1.57915817227,-0.0364365821213,-2.40341844987,-1.56480243537,0.464664488125,3.0,0.75,0.008,0.0
1454587895116472616,35,1454587895116253695,,35,2.22900513463,-1.57929809832,-0.0344132632889,-2.4046995131,-1.56488776026,0.464627392038,3.0,0.75,0.008,0.0
1454587895124575520,36,1454587895124362593,,36,2.22904052937,-1.57938804352,-0.0329178944606,-2.40563866494,-1.56495111203,0.464598432358,3.0,0.75,0.008,0.0
1454587895132562216,37,1454587895132364243,,37,2.22908974806,-1.57948770723,-0.0309552795476,-2.40686070802,-1.56503473161,0.464558328544,3.0,0.75,0.008,0.0
1454587895140710159,38,1454587895140499683,,38,2.22914125434,-1.57956397579,-0.029030118694,-2.40804692925,-1.56511738752,0.464516553535,3.0,0.75,0.008,0.0
1454587895148810943,39,1454587895148582220,,39,2.22919501398,-1.57961665788,-0.0271441748857,-2.40919598737,-1.56519908725,0.464473146164,3.0,0.75,0.008,0.0
1454587895156866899,40,1454587895156640085,,40,2.22925098851,-1.579645631,-0.0252990224816,-2.41030667974,-1.5652798379,0.464428148434,3.0,0.75,0.008,0.0
1454587895164885844,41,1454587895164671750,,41,2.22930913543,-1.5796508382,-0.0234960557642,-2.41137793576,-1.56535964618,0.464381605298,3.0,0.75,0.008,0.0
1454587895173044617,42,1454587895172796444,,42,2.22936940845,-1.57963228486,-0.0217364973337,-2.41240881049,-1.56543851832,0.464333564457,3.0,0.75,0.008,0.0
1454587895181091357,43,1454587895180871654,,43,2.22943175772,-1.57959003556,-0.0200214063353,-2.41339847841,-1.56551646009,0.464284076154,3.0,0.75,0.008,0.0
1454587895189118401,44,1454587895188901961,,44,2.22949613003,-1.57952421094,-0.0183516865132,-2.41434622733,-1.56559347679,0.464233192974,3.0,0.75,0.008,0.0
1454587895197153488,45,1454587895196891754,,45,2.2295457031,-1.57945947378,-0.0171296317212,-2.41502916202,-1.56565063516,0.464194148055,3.0,0.75,0.008,0.0
1454587895205368116,46,1454587895205047445,,46,2.22961347839,-1.57935284067,-0.0155410466948,-2.41590215892,-1.56572604434,0.464140956747,3.0,0.75,0.008,0.0
1454587895213327183,47,1454587895213083234,,47,2.22968311486,-1.57922322887,-0.0139995804583,-2.4167318151,-1.56580054063,0.464086525718,3.0,0.75,0.008,0.0
1454587895221437233,48,1454587895221200907,,48,2.22975454862,-1.57907094303,-0.0125056225751,-2.41751779209,-1.56587412765,0.464030914681,3.0,0.75,0.008,0.0
1454587895229396491,49,1454587895229171306,,49,2.22982771336,-1.57889633017,-0.0110594428992,-2.41825983821,-1.56594680862,0.463974184834,3.0,0.75,0.008,0.0
1454587895237560902,50,1454587895237351824,,50,2.22990254061,-1.57869977696,-0.00966119851964,-2.41895778338,-1.56601858637,0.46391639869,3.0,0.75,0.008,0.0
1454587895245597072,51,1454587895245373195,,51,2.22997895988,-1.57848170713,-0.00831094050091,-2.41961153422,-1.56608946342,0.463857619921,3.0,0.75,0.008,0.0
1454587895253731905,52,1454587895253468452,,52,2.23003727565,-1.57830430892,-0.00732971246527,-2.42007282935,-1.56614203144,0.463812923307,3.0,0.75,0.008,0.0
1454587895261709565,53,1454587895261472412,,53,2.2301163059,-1.57804970704,-0.00606325777322,-2.42064922919,-1.56621133735,0.463752563588,3.0,0.75,0.008,0.0
1454587895269789446,54,1454587895269600830,,54,2.23019672537,-1.57777492442,-0.00484443577481,-2.42118153506,-1.56627974793,0.463691391071,3.0,0.75,0.008,0.0
1454587895277957380,55,1454587895277723260,,55,2.23027845755,-1.57748050175,-0.00367295643124,-2.42166990014,-1.56634726471,0.463629472441,3.0,0.75,0.008,0.0
1454587895286019901,56,1454587895285775637,,56,2.23036142472,-1.57716700542,-0.00254845285971,-2.42211453317,-1.56641388902,0.463566874859,3.0,0.75,0.008,0.0
1454587895294033234,57,1454587895293779392,,57,2.23044554808,-1.57683502529,-0.00147048687978,-2.42251569449,-1.56647962204,0.463503665832,3.0,0.75,0.008,0.0
1454587895302173173,58,1454587895301941969,,58,2.23053074795,-1.57648517261,-0.00043855435418,-2.42287369228,-1.56654446485,0.463439913092,3.0,0.75,0.008,0.0
1454587895310259073,59,1454587895310025178,,59,2.23061694382,-1.57611807802,0.000547909674211,-2.42318887886,-1.56660841844,0.463375684478,3.0,0.75,0.008,0.0
1454587895318270143,60,1454587895318082870,,60,2.23070405456,-1.57573438954,0.00148952604706,-2.4234616473,-1.56667148375,0.463311047823,3.0,0.75,0.008,0.0
1454587895326245264,61,1454587895326062402,,61,2.23079199855,-1.57533477073,0.00238696675443,-2.42369242801,-1.56673366171,0.463246070846,3.0,0.75,0.008,0.0
1454587895334354216,62,1454587895334175624,,62,2.23088069376,-1.57491989884,0.00324095039512,-2.42388168564,-1.56679495326,0.463180821051,3.0,0.75,0.008,0.0
1454587895342542634,63,1454587895342304164,,63,2.23097005791,-1.57449046312,0.00405223783023,-2.42402991604,-1.5668553594,0.463115365631,3.0,0.75,0.008,0.0
1454587895350628499,64,1454587895350395712,,64,2.23103747042,-1.57415924929,0.00463316333067,-2.42411447907,-1.56690008358,0.463066179317,3.0,0.75,0.008,0.0
1454587895358579282,65,1454587895358348063,,65,2.23112780684,-1.57370601544,0.00537167560001,-2.42419218864,-1.56695894283,0.463000524459,3.0,0.75,0.008,0.0
1454587895366716546,66,1454587895366474121,,66,2.23121858551,-1.57324016152,0.00606976867919,-2.42423037255,-1.56701691983,0.462934846395,3.0,0.75,0.008,0.0
