timestamp,tag,aruco_id,marker_length_m,roi_x,roi_y,roi_z,aruco_x,aruco_y,aruco_z,dx,dy,dz,err_norm,frame_id
2025-08-13T16:01:37.909578,prueba_1,9,0.1,0.004707891494035721,0.06238437816500664,0.9830000400543213,0.005793614313006401,0.06258277595043182,0.9873390793800354,0.0010857228189706802,0.00019839778542518616,0.004339039325714111,0.004477210808545351,camera_color_optical_frame
2025-08-13T16:01:37.941352,prueba_1,9,0.1,0.004717470612376928,0.06251130998134613,0.9850000739097595,0.005660789553076029,0.06237674131989479,0.9932417869567871,0.0009433189406991005,-0.00013456866145133972,0.008241713047027588,0.008296613581478596,camera_color_optical_frame
2025-08-13T16:01:37.976917,prueba_1,9,0.1,0.004717470612376928,0.06251130998134613,0.9850000739097595,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0009078220464289188,-1.0088086128234863e-05,0.005922794342041016,0.005991972517222166,camera_color_optical_frame
2025-08-13T16:01:38.007688,prueba_1,9,0.1,0.004712680820375681,0.062447842210531235,0.984000027179718,0.00591823598369956,0.06239347532391548,0.9869264960289001,0.0012055551633238792,-5.4366886615753174e-05,0.002926468849182129,0.0031655235216021538,camera_color_optical_frame
2025-08-13T16:01:38.041555,prueba_1,9,0.1,0.004712680820375681,0.062447842210531235,0.984000027179718,0.00591823598369956,0.06239347532391548,0.9869264960289001,0.0012055551633238792,-5.4366886615753174e-05,0.002926468849182129,0.0031655235216021538,camera_color_optical_frame
2025-08-13T16:01:38.074396,prueba_1,9,0.1,0.004707891494035721,0.06238437816500664,0.9830000400543213,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0009174011647701263,0.00011684373021125793,0.007922828197479248,0.007976620458066463,camera_color_optical_frame
2025-08-13T16:01:38.108046,prueba_1,9,0.1,0.004712680820375681,0.062447842210531235,0.984000027179718,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0009126118384301662,5.3379684686660767e-05,0.0069228410720825195,0.006982938852161169,camera_color_optical_frame
2025-08-13T16:01:38.142268,prueba_1,9,0.1,0.004707891494035721,0.06238437816500664,0.9830000400543213,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0009174011647701263,0.00011684373021125793,0.007922828197479248,0.007976620458066463,camera_color_optical_frame
2025-08-13T16:01:38.175240,prueba_1,9,0.1,0.004712680820375681,0.062447842210531235,0.984000027179718,0.005660789553076029,0.06237674131989479,0.9932417869567871,0.0009481087327003479,-7.110089063644409e-05,0.009241759777069092,0.009290537796914577,camera_color_optical_frame
2025-08-13T16:01:38.212658,prueba_1,9,0.1,0.004717470612376928,0.06251130998134613,0.9850000739097595,0.005660789553076029,0.06237674131989479,0.9932417869567871,0.0009433189406991005,-0.00013456866145133972,0.008241713047027588,0.008296613581478596,camera_color_optical_frame
2025-08-13T16:02:49.888552,prueba_1,9,0.1,0.0036437304224818945,0.06143810972571373,0.9850000739097595,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0019815622363239527,0.0010631121695041656,0.005922794342041016,0.006335320882499218,camera_color_optical_frame
2025-08-13T16:02:49.923427,prueba_1,9,0.1,0.0036437304224818945,0.06143810972571373,0.9850000739097595,0.005660789553076029,0.06237674131989479,0.9932417869567871,0.0020170591305941343,0.0009386315941810608,0.008241713047027588,0.008536708541214466,camera_color_optical_frame
2025-08-13T16:02:49.958724,prueba_1,9,0.1,0.0036363317631185055,0.061313360929489136,0.9830000400543213,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0019889608956873417,0.0011878609657287598,0.007922828197479248,0.008254585787653923,camera_color_optical_frame
2025-08-13T16:02:49.990490,prueba_1,9,0.1,0.003632632549852133,0.06125098839402199,0.9820000529289246,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0019926601089537144,0.0012502335011959076,0.008922815322875977,0.009227698668837547,camera_color_optical_frame
2025-08-13T16:02:50.024544,prueba_1,9,0.1,0.003632632549852133,0.06125098839402199,0.9820000529289246,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0019926601089537144,0.0012502335011959076,0.008922815322875977,0.009227698668837547,camera_color_optical_frame
2025-08-13T16:02:50.058301,prueba_1,9,0.1,0.0036437304224818945,0.06143810972571373,0.9850000739097595,0.004858118481934071,0.06265533715486526,0.9859839081764221,0.001214388059452176,0.001217227429151535,0.0009838342666625977,0.0019809873774647713,camera_color_optical_frame
2025-08-13T16:02:50.090581,prueba_1,9,0.1,0.003640030976384878,0.061375733464956284,0.984000027179718,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.001985261682420969,0.001125488430261612,0.0069228410720825195,0.007289287634193897,camera_color_optical_frame
2025-08-13T16:02:50.121669,prueba_1,9,0.1,0.003640030976384878,0.061375733464956284,0.984000027179718,0.005793614313006401,0.06258277595043182,0.9873390793800354,0.002153583336621523,0.0012070424854755402,0.003339052200317383,0.0041526067070662975,camera_color_optical_frame
2025-08-13T16:02:50.156170,prueba_1,9,0.1,0.0036437304224818945,0.06143810972571373,0.9850000739097595,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0019815622363239527,0.0010631121695041656,0.005922794342041016,0.006335320882499218,camera_color_optical_frame
2025-08-13T16:02:50.189053,prueba_1,9,0.1,0.0036437304224818945,0.06143810972571373,0.9850000739097595,0.005625292658805847,0.0625012218952179,0.9909228682518005,0.0019815622363239527,0.0010631121695041656,0.005922794342041016,0.006335320882499218,camera_color_optical_frame
