tag,dx_mm,dy_mm,dz_mm,err_norm_mm
prueba_1,1.0857228189706,0.1983977854251,4.3390393257141,4.4772108085452995
prueba_1,2.1535833366215,1.2070424854755,3.3390522003172998,4.152606707066201
prueba_1,1.2143880594521,1.2172274291515,0.9838342666625001,1.9809873774647002
prueba_1,0.9433189406990999,-0.1345686614513,8.241713047027499,8.2966135814785
prueba_1,0.9481087327002999,-0.07110089063644409,9.241759777069,9.2905377969145
prueba_1,0.9174011647701,0.1168437302112,7.922828197479199,7.9766204580663995
prueba_1,2.0170591305941,0.938631594181,8.241713047027499,8.5367085412144
prueba_1,1.2055551633238002,-0.05436688661575317,2.9264688491821,3.1655235216021
prueba_1,1.9815622363239003,1.0631121695041,5.922794342041,6.335320882499199
prueba_1,1.9852616824209,1.1254884302616,6.9228410720825,7.2892876341938
prueba_2,-0.1472830772399,-0.9838193655013999,9.5009803771972,9.5529174432158
prueba_2,-0.6674826145172,-0.8394569158554,11.5009546279907,11.5508520975708
prueba_2,0.1128315925598,-1.0560005903243999,8.5009336471557,8.567014709115
prueba_2,-0.1472830772399,-0.9838193655013999,9.5009803771972,9.5529174432158
prueba_2,-0.1472830772399,-0.9838193655013999,9.5009803771972,9.5529174432158
prueba_2,-0.1472830772399,-0.9838193655013999,9.5009803771972,9.5529174432158
prueba_2,-0.4073977470397,-0.9116306900978,10.5010271072387,10.5483941733837
prueba_2,0.1128315925598,-1.0560005903243999,8.5009336471557,8.567014709115
prueba_2,0.1128315925598,-1.0560005903243999,8.5009336471557,8.567014709115
prueba_2,0.3729164600372,-1.1281743645667999,7.5010061264038,7.5945332646369
prueba_3,3.9125084877014005,-0.8152723312377,29.9369096755981,30.202500522136603
prueba_3,8.5840821266174,-0.2242550253868,39.5170450210571,40.4392592608928
prueba_3,3.4672617912292,-0.8809193968772,28.936862945556598,29.1571598500013
prueba_3,6.3581466674804,-0.5524680018424,34.5170497894287,35.102110356092396
prueba_3,3.9125084877014005,-0.8152723312377,29.9369096755981,30.202500522136603
prueba_3,5.4677724838256,-0.6837472319602,32.5170755386352,32.980665564537
prueba_3,3.2418966293333997,-1.0119602084159,27.5170803070068,27.7258660644292
prueba_3,6.1384439468383,-0.4870593547821,34.9369049072265,35.475414246320696
prueba_3,5.4677724838256,-0.6837472319602,32.5170755386352,32.980665564537
prueba_3,4.5774579048156,-0.8150339126586,30.5171012878417,30.869254842400498
prueba_4,0.1223087310791,-2.7759075164794,26.9246101379394,27.0676054060459
