timestamp,tag,gt_m,mean_m,median_m,std_m,p05_m,p95_m,error_m,error_pct,frames
2025-08-12T18:57:55.746770,result,1.0,1.0038496255874634,1.0038766860961914,0.00025568416458554566,1.0010000467300415,1.0049999952316284,0.003849625587463379,0.3849625587463379,200
2025-08-12T18:58:16.366670,result,1.0,1.0046319961547852,1.004643440246582,0.00018389199976809323,0.999000072479248,1.0110000371932983,0.004631996154785156,0.4631996154785156,200
2025-08-12T18:58:32.388223,result,1.0,1.0085374116897583,1.0084803104400635,0.0002847714931704104,0.999000072479248,1.0200001001358032,0.0085374116897583,0.8537411689758301,200
2025-08-12T19:00:48.341349,result,1.1,1.109413743019104,1.1094433069229126,0.0002617472782731056,1.1069999933242798,1.1110000610351562,0.009413743019103915,0.8557948199185378,200
2025-08-12T19:01:12.670470,result,1.1,1.1166393756866455,1.1166932582855225,0.00021892553195357323,1.1080000400543213,1.125,0.01663937568664542,1.5126705169677652,200
2025-08-12T19:01:35.070476,result,1.1,1.1166826486587524,1.1166794300079346,0.0002227506338385865,1.1090000867843628,1.125,0.016682648658752353,1.516604423522941,200
2025-08-12T19:03:19.078335,result,1.2,1.2183692455291748,1.2183797359466553,0.00017901095270644873,1.2080000638961792,1.2300000190734863,0.01836924552917485,1.530770460764571,200
2025-08-12T19:03:35.437178,result,1.2,1.2102351188659668,1.210250973701477,0.00030690940911881626,1.2080000638961792,1.2140001058578491,0.010235118865966841,0.8529265721639034,200
2025-08-12T19:03:52.418793,result,1.2,1.2112791538238525,1.2113368511199951,0.00019909016555175185,1.2030000686645508,1.2200000286102295,0.011279153823852583,0.9399294853210487,200
2025-08-12T19:06:09.609978,result,1.3,1.313177227973938,1.3131872415542603,0.00018739151710178703,1.2980000972747803,1.3310000896453857,0.013177227973937944,1.0136329210721495,200
2025-08-12T19:06:29.682424,result,1.3,1.3111236095428467,1.3111412525177002,0.0004799448070116341,1.3070000410079956,1.3140000104904175,0.011123609542846635,0.8556622725266642,200
2025-08-12T19:06:58.407305,result,1.3,1.3139948844909668,1.3140325546264648,0.00021082014427520335,1.2970000505447388,1.3330000638961792,0.013994884490966752,1.0765295762282117,200
2025-08-12T19:10:59.237960,result,1.4,1.4124051332473755,1.4124506711959839,0.0002418566436972469,1.402000069618225,1.4250000715255737,0.012405133247375577,0.8860809462411128,200
2025-08-12T19:11:24.211005,result,1.4,1.4068607091903687,1.406895637512207,0.00034986480022780597,1.4040000438690186,1.4100000858306885,0.006860709190368741,0.4900506564549101,200
2025-08-12T19:11:41.044748,result,1.4,1.4070266485214233,1.407041072845459,0.00018837359675671905,1.3930000066757202,1.4230000972747803,0.007026648521423429,0.5019034658159592,200
